variable,project_id,RCM,domain,frequency,GCM,experiment_id,period_start,period_end,n_files,path2files
va700,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
tsgree,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
wa1000,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
zg200,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ta200,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
rlus,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:30:00,2100-12-31 23:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ua925,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
tsskin,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
mrro,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:30:00,2100-12-31 23:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ua100m,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
zg500,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ta500,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
tascan,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
hus925,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
hfso,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:30:00,2100-12-31 23:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ua850,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ta925,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
hurs,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
sfcWindmax,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,-,-,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ua700,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
husscan,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
zg1000,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
mrso,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
hus200,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
cape,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
hus500,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
psl,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
pr,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:30:00,2100-12-31 23:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
